what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1299673946389
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1299673946765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1299673948050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299673948620
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299674558423
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299674560846
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299674565130
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1299674576239
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299674578235
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299674580580
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1299674582001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299674582031
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1299674585958
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299674586142
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1299674590916
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299674593744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299674619709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299674675875
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299674676108
